artist,title,title_index,release_year,hp,bill_year,bill_ranking,era,era_year,popularity,loudness,tempo,time,modality,danceability,energy,speechiness,instrumentalness,liveness,valence,genre
Coolio,Gangsta's paradise,25,1995,845,2014,1467,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Coolio,Gangsta's paradise,25,1995,845,2015,1121,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Coolio,Gangsta's paradise,25,1995,845,2016,1302,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Coolio,Gangsta's paradise,25,1995,845,2017,1281,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Coolio,Gangsta's paradise,25,1995,845,2018,845,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Coolio,Gangsta's paradise,25,1995,845,2019,963,90s,1990-1999,80,-10.05,79.974,4,1,0.647,0.514,0.0593,0,0.398,0.387,hip hop
Eminem,The Real Slim Shady,26,2000,949,2016,1745,90s,1990-1999,79,-4.244,104.504,4,0,0.949,0.661,0.0572,0,0.0454,0.76,hip hop
Eminem,The Real Slim Shady,26,2000,949,2017,1668,90s,1990-1999,79,-4.244,104.504,4,0,0.949,0.661,0.0572,0,0.0454,0.76,hip hop
Eminem,The Real Slim Shady,26,2000,949,2018,949,90s,1990-1999,79,-4.244,104.504,4,0,0.949,0.661,0.0572,0,0.0454,0.76,hip hop
Eminem,The Real Slim Shady,26,2000,949,2019,1039,90s,1990-1999,79,-4.244,104.504,4,0,0.949,0.661,0.0572,0,0.0454,0.76,hip hop
Eminem,Lose yourself,27,2002,63,2015,218,2000s,2000-2020,77,-4.565,171.374,4,1,0.692,0.744,0.257,0.000423,0.359,0.0612,hip hop
Eminem,Lose yourself,27,2002,63,2016,153,2000s,2000-2020,77,-4.565,171.374,4,1,0.692,0.744,0.257,0.000423,0.359,0.0612,hip hop
Eminem,Lose yourself,27,2002,63,2017,146,2000s,2000-2020,77,-4.565,171.374,4,1,0.692,0.744,0.257,0.000423,0.359,0.0612,hip hop
Eminem,Lose yourself,27,2002,63,2018,63,2000s,2000-2020,77,-4.565,171.374,4,1,0.692,0.744,0.257,0.000423,0.359,0.0612,hip hop
Eminem,Lose yourself,27,2002,63,2019,95,2000s,2000-2020,77,-4.565,171.374,4,1,0.692,0.744,0.257,0.000423,0.359,0.0612,hip hop
Mr. Probz,Waves,28,2013,63,2013,1245,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2014,63,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2015,293,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2016,644,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2017,778,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2018,953,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Mr. Probz,Waves,28,2013,63,2019,791,2000s,2000-2020,76,-9.334,119.993,4,0,0.829,0.51,0.0369,0.0014,0.0829,0.45,hip hop
Eminem,Stan,29,2000,259,2015,618,90s,1990-1999,75,-4.325,80.063,4,0,0.78,0.768,0.238,2.34E-06,0.518,0.507,hip hop
Eminem,Stan,29,2000,259,2016,619,90s,1990-1999,75,-4.325,80.063,4,0,0.78,0.768,0.238,2.34E-06,0.518,0.507,hip hop
Eminem,Stan,29,2000,259,2017,489,90s,1990-1999,75,-4.325,80.063,4,0,0.78,0.768,0.238,2.34E-06,0.518,0.507,hip hop
Eminem,Stan,29,2000,259,2018,259,90s,1990-1999,75,-4.325,80.063,4,0,0.78,0.768,0.238,2.34E-06,0.518,0.507,hip hop
